grid_id,longitude,latitude,gold_label_strict,distance_to_nearest_deposit_km,distance_to_nearest_broad_gold_site_km,spatial_fold,Random Forest,XGBoost,final_ensemble_score,model_disagreement,final_rank,pre_gravity_rank,pre_gravity_score,rank_movement_after_gravity_reduction,final_tier
33,122.01173064183382,-31.365253323751347,0.0,18.903547866480107,12.295171104796475,0,0.8140829075620764,0.9527933597564697,0.883438133659273,0.13871045219439337,1,1,0.8334633234498153,0,Final Tier 2
221,121.8032160705464,-30.466942148760324,0.0,18.009078786737657,4.632819569077178,2,0.7816872074146145,0.9689008593559265,0.8752940333852706,0.187213651941312,2,8,0.6549075629793338,6,Final Tier 3
129,122.11598792747752,-30.91609773625584,0.0,15.962719068163134,2.1198515062521333,0,0.8473820950899245,0.8911609053611755,0.86927150022555,0.04377881027125108,3,3,0.7395643809242255,0,Final Tier 1
148,122.11598792747752,-30.826266618756733,0.0,17.52649598823405,3.159705639560677,0,0.6959918489806561,0.8652012348175049,0.7805965418990806,0.16920938583684875,4,10,0.6335612569223107,6,Final Tier 3
149,122.22024521312125,-30.826266618756733,0.0,23.708788516850724,10.328318444606705,0,0.6577488850547498,0.8307135701179504,0.7442312275863501,0.17296468506320062,5,4,0.7017141186885064,-1,Final Tier 3
167,122.11598792747752,-30.73643550125763,0.0,17.823688899353172,7.073179525548859,0,0.6543986106894273,0.7968461513519287,0.725622381020678,0.14244754066250143,6,13,0.5983449666586826,7,Final Tier 2
247,120.55212864282186,-30.28727991376212,0.0,17.344664728645377,8.541085404333655,1,0.6796604862051954,0.7450007200241089,0.7123306031146521,0.06534023381891352,7,11,0.6103545941752068,4,Final Tier 2
14,122.01173064183382,-31.45508444125045,0.0,17.43820683486053,7.493767469121053,0,0.599838161210416,0.7520579099655151,0.6759480355879656,0.15221974875509914,8,5,0.6719368982108475,-3,Final Tier 3
191,120.65638592846555,-30.556773266259427,0.0,17.39245997255826,3.1582368997653445,1,0.5617612817706243,0.7357504963874817,0.648755889079053,0.17398921461685735,9,9,0.6346699898147609,0,Final Tier 3
275,121.49044421361526,-30.19744879626301,0.0,19.44481820695817,7.581861142011945,2,0.7280325570835919,0.550137996673584,0.639085276878588,0.17789456041000795,10,2,0.7622772950735665,-8,Final Tier 3
185,122.01173064183382,-30.64660438375853,0.0,15.77874313108673,3.642053889240729,0,0.5478600373163671,0.703689694404602,0.6257748658604846,0.15582965708823493,11,29,0.4265611135115578,18,Final Tier 3
166,122.01173064183382,-30.73643550125763,0.0,15.296379583783414,4.800980304862492,0,0.5653472709060302,0.4700518846511841,0.5176995777786071,0.09529538625484613,12,28,0.4296872303692218,16,Lower
173,120.76064321410928,-30.64660438375853,0.0,16.10097733382347,2.616181677849835,1,0.48056582656559277,0.5372231006622314,0.5088944636139121,0.05665727409663868,13,35,0.4163833121331283,22,Lower
