feature,mean_importance,std_importance,top40_folds
grav_gradmean_10km,0.043884763848122545,0.017433215654581877,5
vd1_median_10km,0.031346910720349876,0.010028679568106396,5
major_fault_shear_length_25km,0.031170171136057783,0.010746885822080499,5
unspec_Ni_logmax_25km,0.029136329495163583,0.0190772215376512,5
grav_std_5km,0.022789491889333418,0.015586044883070967,5
unspec_Ni_max_25km,0.022771175049503423,0.0026783286190883103,5
outc_sample_count_25km,0.021698466336572075,0.016357100654612662,5
vd1_gradp90_10km,0.02049981004502035,0.012392054923207057,5
unspec_Ni_max_10km,0.017648390367147295,0.014556541048889744,5
vd1_gradp90_5km,0.01622611381360366,0.007815057598382911,5
unspec_Te_logmax_25km,0.014057651786453134,0.005205607062922903,5
unspec_sample_count_25km,0.013651771731197937,0.004735789332688516,5
outc_Sb_logmax_25km,0.012538516535724803,0.004839817571662683,5
unspec_Au_logmax_25km,0.032325838633572704,0.020005342877845222,4
fault_shear_length_25km,0.02593507915483061,0.023198137842447283,4
unspec_Au_max_25km,0.024294739991477448,0.015324000851753733,4
vd1_median_5km,0.022759796447947407,0.012215659319690195,4
grav_p90_10km,0.021696693016951284,0.014244236562793791,4
unspec_Ni_logmax_10km,0.02038265319451837,0.010838752444741449,4
distance_to_contact_km,0.016937853710934248,0.008448032670637906,4
unspec_Cu_max_25km,0.015610373962970808,0.007381390739293744,4
unspec_Au_logmax_10km,0.014881577323977224,0.009082123975191548,4
unspec_Ars_max_25km,0.014659733705969269,0.011842119531614981,4
outc_Ars_max_25km,0.01419690590161377,0.008503325128004391,4
distance_to_fold_km,0.014009033029185968,0.008642406610792653,4
unspec_Ars_logmax_25km,0.012495072617222852,0.009071090280289724,4
outc_Ars_logmax_25km,0.011675767881112247,0.005449348966647497,4
unspec_Au_logmedian_25km,0.009584246638138977,0.003622608932043875,4
vd1_median_25km,0.00922205277791328,0.002834170348400894,4
grav_gradp90_25km,0.016788696377232244,0.015336270396175657,3
unspec_Au_max_10km,0.016416512725133,0.016075413117025778,3
unspec_Te_max_25km,0.016313994581364403,0.01870460728006351,3
unspec_Cu_logmax_10km,0.011460609642353735,0.007829683112828573,3
vd1_p90_10km,0.009997374496058314,0.00503964534346888,3
outc_Sb_max_25km,0.008288770468837782,0.004800706618646967,3
unspec_Cu_logmax_25km,0.008119281943496728,0.007769591589014672,3
outc_Ni_max_25km,0.006514369926842368,0.0019018354509014292,3
unspec_Ag_max_25km,0.006375467130284106,0.004134002952365863,3
outc_Pb_median_25km,0.005823353494509254,0.0035370579346330764,3
unspec_Au_median_25km,0.0077843572879845516,0.006448110616675277,2
outc_Zn_logmax_25km,0.007585008091016784,0.005293738142481004,2
outc_sample_count_10km,0.0075083475330709176,0.006468395301974154,2
unspec_Ni_median_25km,0.006837771640006972,0.010101965794639237,2
unspec_Au_logmedian_10km,0.00572197332860505,0.0046740009435460835,2
GRA_1,0.005625696773637441,0.004146145437808949,2
vd1_p90_5km,0.005539795102991774,0.002486092873766509,2
outc_Cu_logmax_25km,0.00485006196873536,0.003445532458598645,2
outc_Zn_max_25km,0.007286977851435436,0.006982641472650684,1
outc_Ni_logmax_25km,0.007140999770603743,0.0118259335483637,1
outc_Au_max_25km,0.005391821598344343,0.005281634756688427,1
unspec_W_logmax_25km,0.0053029330621637985,0.0027714204390943756,1
vd1_p90_25km,0.0052458269553567844,0.0017845889877399833,1
unspec_Ni_logmedian_10km,0.005128734094852952,0.004061843246244177,1
unspec_Au_median_10km,0.004768867186394295,0.0052447005487655995,1
unspec_Ag_logmax_25km,0.004707254683248148,0.0021644798239244967,1
outc_Te_max_25km,0.004519725573530471,0.0038698177429742475,1
outc_has_data_10km,0.004485100244882354,0.005592008370111175,1
unspec_Cu_logmedian_25km,0.004463781455020113,0.003913168090067524,1
unspec_W_max_25km,0.004462466277924368,0.002433939144422957,1
unspec_Cu_median_25km,0.003777856669382104,0.002895514932275901,1
unspec_Sb_max_25km,0.0037334890169626878,0.002875232005885446,1
unspec_Bi_logmax_25km,0.0036169064977393424,0.004266111990473179,1
unspec_Zn_max_25km,0.0035118606373399732,0.0062706825534296,1
unspec_Zn_logmedian_25km,0.0033452801490054347,0.0033549369083944233,1
unspec_Ars_max_10km,0.0031910360485247332,0.003247496903843946,1
unspec_Zn_logmax_25km,0.0027776942167135666,0.004153794390259958,1
unspec_Cu_median_10km,0.002741835957245209,0.002245254065384156,1
outc_Cu_max_25km,0.0026946817130515644,0.002869791691269889,1
unspec_Bi_max_25km,0.0026786249035400224,0.0024944846835847625,1
unspec_Ni_logmedian_25km,0.002632753925939085,0.002580769070404844,1
outc_Pb_logmedian_25km,0.0025945759108611834,0.0031108787718094233,1
outc_Bi_logmedian_25km,0.0020530196844345525,0.0028167417194335654,1
grav_p90_25km,0.004075973297877384,0.00036158212000802093,0
grav_p10_10km,0.0038122297913364077,0.0018750788696014172,0
outc_Au_logmax_25km,0.00348942882151035,0.0006443903075578168,0
unspec_Cu_max_10km,0.0033719622932804026,0.000998970903990382,0
unspec_Ni_median_10km,0.0033539172122358423,0.001402663642706641,0
unspec_Pb_logmax_25km,0.003301175299016483,0.0011428796510316152,0
grav_std_25km,0.0032876800242625064,0.0005822983687550957,0
unspec_Zn_logmax_10km,0.0031847691732524138,0.0017988502579369522,0
RTP_1,0.003178076835488204,0.0011008581882575581,0
unspec_Zn_median_25km,0.0031749149560932393,0.002954707835866859,0
unspec_Te_max_10km,0.0027246584728182997,0.0020224237529150486,0
outc_Pb_logmax_25km,0.0027120466064545702,0.0008942221114308668,0
outc_Ni_median_25km,0.0026676774955133728,0.0008508093194144327,0
unspec_Zn_logmedian_10km,0.0026514597858851136,0.0021992116563589884,0
unspec_Pb_max_25km,0.002632476121231474,0.0017191478407931466,0
outc_Ni_logmedian_25km,0.002534628675943806,0.0011147590040829335,0
vd1_absmean_25km,0.002526655753839741,0.0015259730380225859,0
outc_Cu_logmedian_25km,0.0024861720974726884,0.0016108894135384699,0
unspec_Ars_logmax_10km,0.002467371494588557,0.002067501639961813,0
unspec_Te_logmax_10km,0.0024290731881998337,0.002100618448594369,0
unspec_Bi_logmax_10km,0.0024002702090974454,0.0013268818607738552,0
unspec_W_max_10km,0.0023949296675164246,0.0016854831053056817,0
outc_Pb_max_25km,0.0023800302798855644,0.002311432528580706,0
unspec_Sb_logmedian_25km,0.002353977901961942,0.0025269374170542665,0
unspec_Sb_median_10km,0.002330231922392323,0.001646609652598758,0
unspec_Mo_logmax_10km,0.0022625135174879755,0.001416794745017113,0
unspec_Mo_max_25km,0.0022103961429074874,0.001497752044874589,0
outc_Ag_max_25km,0.002170309853401171,0.00185467185879111,0
unspec_Zn_max_10km,0.002138600440849981,0.0015616200918245724,0
unspec_Ag_logmax_10km,0.00210811428886678,0.0009672113009704438,0
unspec_Mo_logmax_25km,0.0020945228243888425,0.0015443665025336828,0
unspec_Sb_logmax_10km,0.002062115716649808,0.001724018692426395,0
outc_Sb_median_25km,0.002015733594720781,0.0010712437199969383,0
vd1_iqr_25km,0.0019526967154570724,0.001161300953335322,0
outc_Zn_median_25km,0.0019384116660805869,0.001765847104942068,0
unspec_Sb_max_10km,0.0019143595844675944,0.0007913804544133526,0
unspec_Bi_max_10km,0.001898308430927287,0.0006441747977634556,0
unspec_Sb_logmedian_10km,0.0018297727388849293,0.001770729751904214,0
